id,name,Zipcode,lat,long,dock_count,city,Median Household Income,Median home value,Population Density,Population ,Number of people using bicycle,total_bus_stops,total_parks,Business_Accommodations,Business_Administrative_Support_Services,Business_Arts_Entertainment_Recreationn,Business_Certain_Services,Business_Construction,Business_Financial_Services,Business_Food_Services,Business_Information,Business_Insurance,Business_Manufacturing,Business_Multiple,Business_Private_Education_Health_Services,Business_Professional_Scientific_Technical_Services,Business_Real_Estate_Leasing,Business_Retail_Trade,Business_Transportation_Warehousing,Business_Utilities,Business_Wholesale_Trades
41,Clay at Battery,94111,37.795001,-122.39997,15,San Francisco,"89,722","882,000","10,791","3,713",846,47,2,27,178,24,63,50,572,176,95,80,19,34,108,1164,388,156,11,4,65
42,Davis at Jackson,94111,37.79728,-122.398436,15,San Francisco,"89,722","882,000","10,791","3,713",846,19,2,22,46,17,28,26,173,79,46,16,12,12,41,386,148,78,5,2,13
45,Commercial at Montgomery,94111,37.794231,-122.402923,15,San Francisco,"89,722","882,000","10,791","3,713",846,45,4,25,190,50,89,41,504,230,117,59,21,47,139,1264,537,264,13,2,46
46,Washington at Kearney,94108,37.795425,-122.404767,15,San Francisco,"35,427","856,900","50,983","13,768",3137,49,3,31,116,56,98,40,314,205,64,33,16,43,117,728,569,355,14,,42
47,Post at Kearney,94104,37.788975,-122.403452,19,San Francisco,"43,364","1,000,001","5,232",406,98,37,2,15,200,73,102,35,320,229,224,54,37,44,295,1479,472,413,20,3,60
48,Embarcadero at Vallejo,94111,37.799953,-122.398525,15,San Francisco,"89,722","882,000","10,791","3,713",846,11,,8,21,12,19,19,31,21,39,4,12,6,4,152,82,31,,,13
49,Spear at Folsom,94105,37.790302,-122.390637,19,San Francisco,"163,949","740,900","15,826","5,846",1852,16,,4,44,5,14,15,50,64,58,17,5,6,11,210,76,21,4,1,12
50,Harry Bridges Plaza (Ferry Building),94105,37.795392,-122.394203,23,San Francisco,"163,949","740,900","15,826","5,846",1852,33,2,12,57,18,14,15,190,108,43,32,10,6,32,300,102,77,11,3,42
51,Embarcadero at Folsom,94105,37.791464,-122.391034,19,San Francisco,"163,949","740,900","15,826","5,846",1852,26,,4,49,7,17,16,61,56,69,17,6,7,10,226,70,26,10,1,14
39,Powell Street BART,94102,37.783871,-122.408433,19,San Francisco,22517,574100,46472,31176,3276,40,1,68,52,54,49,20,41,146,65,2,36,19,113,268,215,328,10,,27
