Date,Temperature-Maximum,Temperature-Minimum,Temperature-Average,Temperature-Departure,HDD,CDD
2013/8/1,68,56,62,-2,3,0
2013/8/2,68,53,60.5,-3.5,4,0
2013/8/3,70,53,61.5,-2.6,3,0
2013/8/4,67,55,61,-3.1,4,0
2013/8/5,67,55,61,-3.1,4,0
2013/8/6,70,55,62.5,-1.6,2,0
2013/8/7,72,57,64.5,0.3,0,0
2013/8/8,68,56,62,-2.2,3,0
2013/8/9,70,56,63,-1.2,2,0
2013/8/10,70,58,64,-0.3,1,0
2013/8/11,66,55,60.5,-3.8,4,0
2013/8/12,74,56,65,0.6,0,0
2013/8/13,77,55,66,1.6,0,1
2013/8/14,71,56,63.5,-0.9,1,0
2013/8/15,77,62,69.5,5,0,5
2013/8/16,72,59,65.5,1,0,1
2013/8/17,72,59,65.5,1,0,1
2013/8/18,78,57,67.5,2.9,0,3
2013/8/19,74,59,66.5,1.9,0,2
2013/8/20,76,59,67.5,2.8,0,3
2013/8/21,72,58,65,0.3,0,0
2013/8/22,70,58,64,-0.7,1,0
2013/8/23,66,57,61.5,-3.3,3,0
2013/8/24,71,58,64.5,-0.3,0,0
2013/8/25,73,62,67.5,2.7,0,3
2013/8/26,70,59,64.5,-0.4,0,0
2013/8/27,72,56,64,-0.9,1,0
2013/8/28,75,59,67,2.1,0,2
2013/8/29,74,61,67.5,2.6,0,3
2013/8/30,78,60,69,4,0,4
2013/8/31,71,57,64,-1,1,0
2013/9/1,74,58,66,1,0,1
2013/9/2,75,62,68.5,3.5,0,4
2013/9/3,73,60,66.5,1.5,0,2
2013/9/4,74,61,67.5,2.5,0,3
2013/9/5,72,60,66,1,0,1
2013/9/6,85,56,70.5,5.5,0,6
2013/9/7,88,58,73,8,0,8
2013/9/8,74,56,65,0,0,0
2013/9/9,76,55,65.5,0.5,0,1
2013/9/10,74,57,65.5,0.5,0,1
2013/9/11,74,62,68,3,0,3
2013/9/12,71,59,65,0.1,0,0
2013/9/13,66,57,61.5,-3.4,3,0
2013/9/14,66,57,61.5,-3.4,3,0
2013/9/15,73,58,65.5,0.6,0,1
2013/9/16,71,59,65,0.2,0,0
2013/9/17,68,57,62.5,-2.3,2,0
2013/9/18,78,54,66,1.3,0,1
2013/9/19,80,54,67,2.3,0,2
2013/9/20,73,56,64.5,-0.1,0,0
2013/9/21,68,58,63,-1.6,2,0
2013/9/22,70,55,62.5,-2,2,0
2013/9/23,78,57,67.5,3,0,3
2013/9/24,71,58,64.5,0.1,0,0
2013/9/25,67,56,61.5,-2.8,3,0
2013/9/26,71,53,62,-2.2,3,0
2013/9/27,78,54,66,1.8,0,1
2013/9/28,78,53,65.5,1.4,0,1
2013/9/29,75,57,66,2,0,1
2013/9/30,73,59,66,2.1,0,1
2013/10/1,69,56,62.5,-1.3,2,0
2013/10/2,69,54,61.5,-2.2,3,0
2013/10/3,70,54,62,-1.6,3,0
2013/10/4,76,61,68.5,5,0,4
2013/10/5,80,57,68.5,5.1,0,4
2013/10/6,83,56,69.5,6.2,0,5
2013/10/7,80,56,68,4.8,0,3
2013/10/8,72,52,62,-1,3,0
2013/10/9,68,52,60,-2.9,5,0
2013/10/10,70,53,61.5,-1.3,3,0
2013/10/11,63,51,57,-5.7,8,0
2013/10/12,64,47,55.5,-7,9,0
2013/10/13,73,51,62,-0.4,3,0
2013/10/14,77,51,64,1.7,1,0
2013/10/15,80,53,66.5,4.4,0,2
2013/10/16,80,53,66.5,4.5,0,2
2013/10/17,81,54,67.5,5.7,0,3
2013/10/18,68,51,59.5,-2.1,5,0
2013/10/19,74,49,61.5,0,3,0
2013/10/20,64,49,56.5,-4.8,8,0
2013/10/21,61,48,54.5,-6.6,10,0
2013/10/22,64,47,55.5,-5.5,9,0
2013/10/23,61,49,55,-5.8,10,0
2013/10/24,60,53,56.5,-4.1,8,0
2013/10/25,67,50,58.5,-1.9,6,0
2013/10/26,70,49,59.5,-0.7,5,0
2013/10/27,60,50,55,-5,10,0
2013/10/28,61,52,56.5,-3.3,8,0
2013/10/29,63,52,57.5,-2.1,7,0
2013/10/30,65,48,56.5,-2.9,8,0
2013/10/31,70,48,59,-0.2,6,0
2013/11/1,74,51,62.5,3.5,2,0
2013/11/2,63,50,56.5,-2.3,8,0
2013/11/3,63,47,55,-3.6,10,0
2013/11/4,67,44,55.5,-2.9,9,0
2013/11/5,71,50,60.5,2.3,4,0
2013/11/6,70,51,60.5,2.6,4,0
2013/11/7,71,56,63.5,5.8,1,0
2013/11/8,70,50,60,2.5,5,0
2013/11/9,66,48,57,-0.3,8,0
2013/11/10,64,51,57.5,0.5,7,0
2013/11/11,62,54,58,1.2,7,0
2013/11/12,70,57,63.5,6.9,1,0
2013/11/13,68,52,60,3.7,5,0
2013/11/14,61,51,56,-0.1,9,0
2013/11/15,65,50,57.5,1.6,7,0
2013/11/16,62,49,55.5,-0.2,9,0
2013/11/17,63,49,56,0.6,9,0
2013/11/18,60,46,53,-2.2,12,0
2013/11/19,61,54,57.5,2.5,7,0
2013/11/20,59,51,55,0.2,10,0
2013/11/21,62,50,56,1.5,9,0
2013/11/22,69,57,63,8.7,2,0
2013/11/23,65,50,57.5,3.4,7,0
2013/11/24,60,45,52.5,-1.4,12,0
